見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,９：３０～１７：００（入館は１６：３０まで）,月曜（祝日の場合次の平日）,コレクション展2020-春 特集「浜地清松」,展示,?6月21日（日）,,,,,,
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,９：３０～１７：００（入館は１６：３０まで）,月曜（祝日の場合次の平日）,企画展「もようづくし」,展示,?6月28日（日）,,,,,,
県立博物館,073-436-8670,073-436-6643,〒640-8137和歌山市吹上1-4-14,９：３０～１７：００（入館は１６：３０まで）,月曜（祝日の場合次の平日）,特別展「戦乱のなかの熊野」-紀南の武士と城館-,展示,?6月7日（日）,,,,,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,９：0０～１６：３０（入館は１６：００まで）,月曜（祝日の場合次の平日）,第11回HANI-1選手権（ハニワづくり）,イベント,5月10・17・31日、6月7・14日（日）13:30?,,小学生以上 ,各40人（先着順）,350円,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,９：0０～１６：３０（入館は１６：００まで）,月曜（祝日の場合次の平日）,館長講座(1)「仏教考古学あれこれ」,イベント,5月16日（土）13:30?15:00,,小学生以上 ,30人（先着順）,,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,９：0０～１６：３０（入館は１６：００まで）,月曜（祝日の場合次の平日）,和歌山県内埋蔵文化財調査成果展「紀州のあゆみ～発掘された郷土の歴史～」,展示,5月30日（土）?6月28日（日）,,,,,,
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,９：００～１７：００（入館は１６：３０まで）,,(1)「フラワーアレンジメント～夏のフレグランス」,イベント,6月7日（日）13:30?15:30,,小学生以上（小学生は保護者同伴）,16人（先着順）,"(1)1,600円 事前申込",,
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,９：００～１７：００（入館は１６：３０まで）,,(2)「幼児＆小学生のはじめての英会話」,イベント,6月14日（日）14:00?15:00,,3歳～小学生（保護者同伴）,20人（先着順）,(2)500円 事前申込,,
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,９：００～１７：００（入館は１６：３０まで）,,企画展「万葉に集う水彩画展」,展示,?6月14日（日）,,,,,,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,９：３０～１７：００（入館は１６：３０まで）,月曜（祝日の場合次の平日）,磯の生物観察会,イベント,6月6日（土）11:00?13:00,小浦海岸（広川町）,小学生以上（小学生は保護者同伴）,40人（抽選）5月23日まで,,,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,９：３０～１７：００（入館は１６：３０まで）,月曜（祝日の場合次の平日）,身近な昆虫をさがそう,イベント,6月13日（土）10:00?15:00,紀伊風土記の丘（和歌山市）,小学生以上（小学生は保護者同伴）,30人（抽選）5月30日まで,,,
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,９：００～１９：００（土日祝は１８：００まで）,月曜（祝日の場合次の平日）毎月第２木曜,ボランティアによる「おはなし会」,イベント,5月16・23日（土）14:00?、6月6日（土）11:00?,,,各40人（先着順）,,,
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,９：００～１９：００（土日祝は１８：００まで）,月曜（祝日の場合次の平日）毎月第２木曜,季節のおはなし会 あかちゃんといっしょに楽しもう～はる～,イベント,5月20日（水）10:30?、11:00?,,,各40人（先着順）,,,
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,９：００～１９：００（土日祝は１８：００まで）,月曜（祝日の場合次の平日）毎月第２木曜,世界最高峰！ガボール・タルケヴィ トランペットコンサート,イベント,6月5日（金）18:00?,,,250人（先着順）,"4,000円（前売り券3,000円）",,
県立紀南図書館,0739-22-2061,0739-22-4773,〒646-0011田辺市新庄町3353-9（県立情報交流センターＢｉｇ・Ｕ内）,９：００～１９：００（土日祝は１８：００まで）,月曜（祝日の場合次の平日）毎月第２木曜,ゆうゆうおはなし会,イベント,5月10・17・31日、6月7日（日）11:00?11:30,,,,,,
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,１０：００～１７：００,火曜,犬・猫の飼い方講習会,イベント,(1)5月10日（日）・20日（水）・24日（日）、6月4日（木）・14日（日）・28日（日）11:00?,(1)県動物愛護センター,,,,,※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代２７００円が必要です。※県動物愛護センターでは譲渡会を常時開催しています。
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,１０：００～１７：００,火曜,犬・猫の飼い方講習会,イベント,(2)5月18日（月）13:30?,(2)橋本保健所,,,,,※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代２７００円が必要です。※県動物愛護センターでは譲渡会を常時開催しています。
県植物公園緑化センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,９：００～１７：００（入館は１６：３０まで）,火曜（祝日の場合次の平日）,,,,,,,,,5月の花ごよみ　バラ、シャクヤク、ササユリ、ニオイバンマツリ、サラサウツギ、キンセンカ、エキウム
